id bayes.agn.fracAGN bayes.agn.fracAGN_err bayes.agn.luminosity
1 6.709079472659164e-44 2.590189080484119e-23 3.099912467556122e-07
2 2.4890422859849814e-05 0.0004982817430413 1.0095644447137437e+33
3 1.114794378997658e-05 0.000333699207744 1.125745059102061e+32
4 0.2609778979462719 0.0706098495045239 2.1561251560149908e+36
5 0.1764754728631517 0.2143071444983097 2.197581511233806e+36
6 0.8368039591364098 0.2139494073860795 2.3518002305673907e+38
7 0.0020905433936337 0.0040663411728871 1.5231669267004692e+35
8 0.2370131198525618 0.1831198496116976 6.40631349314942e+35
9 0.0469277175262593 0.049230164691887 9.765046137995326e+36
10 0.0001730825813668 0.001304173390963 1.5070348607466677e+34
11 0.0044398154131279 0.0115352587349987 1.8724739305395267e+35
12 0.0817433585955829 0.1113352284264676 1.347798120357293e+37
13 0.4018344778819592 0.2418294879409531 1.800937077630729e+37
14 0.0018544454131017 0.0038867854548925 1.3447610203409917e+35
15 0.0096918999226766 0.0022731438306732 1.4850405515506063e+36
16 0.222905904188918 0.1876938962905028 3.8234491646186085e+38
17 0.0016444550508086 0.00370684973277 1.494490368410386e+35
18 0.4119301134595624 0.2272825629435639 5.336930631214702e+37
19 0.1737667448714453 0.1527750685007738 6.611996729877936e+36
20 0.1502427036416686 0.1519955402859061 1.1023181865456914e+37
21 0.6203034812106697 0.3027993636394397 2.2392843217142677e+38
22 0.1535451235542475 0.0986335650293923 1.6904911361000813e+37
23 0.0744492122647833 0.1115019580123344 5.517366497012752e+37
24 0.3071386610950649 0.2597670426189844 5.204574609292587e+37
25 0.3033387982358543 0.0901438012665044 1.546530349874423e+36
26 6.968001127289542e-08 2.6396879691073013e-05 3.4165079169976584e+29
27 0.7551976651907248 0.1510636404843494 3.926402846248799e+38
28 0.1440613141649154 0.1616746015307546 1.0482427043467386e+37
29 0.3352345463858319 0.1532908281880151 3.4832243352208656e+37
30 0.5388523013792175 0.2880444831136922 9.395604887473472e+36
